APPL_ID,SITE_ID,CLNT_NAME,FREQ,FREQ_PAIR,BWIDTH,EQ_MDL,STN_NAME,STN_ADDR,SID_LONG,SID_LAT,CIRCUIT_LEN,LAT_DEG,LAT_MIN,LAT_SEC,LAT_DIR_IND,LONG_DEG,LONG_MIN,LONG_SEC,LONG_DIR_IND,CURR_LIC_NUM,APPL_DATE,TO_APPL_ID,MASA_LAKU,STASIUN_LAWAN,TO_LAT_DEG,TO_LAT_MIN,TO_LAT_SEC,TO_LAT_DIR_IND,TO_LONG_DEG,TO_LONG_MIN,TO_LONG_SEC,TO_LONG_DIR_IND
3.00E+12,2,"XLSMART TELECOM SEJAHTERA, PT.",22148,,56000,IPASOLINK400_23GHZ,3256174G9 Ampang Gadang Agam,"Panampuang, Agam, Sumatera Barat, Sumatera, 26191, Indonesia",100.4455625,-0.2881875,2.054,0,17,17.475,S,100,26,44.025,E,02860049-000SU/2620242029,22-Aug-25,3.00E+12,12-May-26,3356 Baso,0,17,7.575,S,100,27,49.725,E
2.00E+12,1,"INDOSAT TBK, PT.",22050,23058,28000,HUAWEI_RTN 600_23G_XMC2_128Q_14M_158M,032413_AMPANG GADANG_AGAM,JORONG KOTO HILALANG NAGARI LAMBAH KECAMATAN AMPEK ANGKEK KABUPATEN AGAM PROVINSI SUMATERA BARAT,100.4455917,-0.28819167,1.338,0,17,17.49,S,100,26,44.13,E,02865557-000SU/2620242029,17-May-24,2.00E+12,27-May-26,030061_SD IMPRES - PARAK TANJUNG,0,17,24.47,S,100,26,1.43,E
2.00E+12,2,"INDOSAT TBK, PT.",23058,22050,28000,HUAWEI_RTN 600_23G_XMC2_128Q_14M_158M,030061_SD IMPRES - PARAK TANJUNG,"JL SD IMPRES PARAK TANJUNG JORONG BIARO NAGARI BIARO GADANG KEC AMPEK ANGKEK,PARAK TANJUNG - AMPEK ANGKEK,PADANG,SUMATRA BARAT (100.43373, -.29013)",100.4337306,-0.29013056,1.338,0,17,24.47,S,100,26,1.43,E,02865558-000SU/2620242029,17-May-24,2.00E+12,27-May-26,032413_AMPANG GADANG_AGAM,0,17,17.49,S,100,26,44.13,E
2.06E+12,2,"TELEKOMUNIKASI SELULAR, PT.",22106,23114,28000,ERICSSON ML 23TN,BKT106_PARIK PUTUIH,"Bonjo Alam, Agam, Sumatera Barat, Sumatera, 26126, Indonesia",100.4021875,-0.2986875,1.017,0,17,55.275,S,100,24,7.875,E,02157541-000SU/2620192024,8-Nov-24,2.06E+12,8-Oct-26,BKT136_TANJUNG ALAM,0,17,37.725,S,100,24,35.775,E
2.12E+12,2,"XLSMART TELECOM SEJAHTERA, PT.",23450,22442,28000,FIBEAIR IP-20C (23GHZ),NPDG_0051_SD Impres - Parak Tanjung,"Jl Dusun Balai Bagamba,jorong biaro,Nagari biao gadang,Kec ampek angkek,Kab Agam Prop Sumatra barat",100.4353111,-0.29131111,2.254,0,17,28.72,S,100,26,7.12,E,02237079-000SU/2620202025,22-Mar-24,2.12E+12,21-Jan-27,NPDG_0229_Biaro,0,16,59.92,S,100,25,0.07,E
2.15E+12,1,"TELEKOMUNIKASI SELULAR, PT.",23506,22498,28000,ERICSSON   23TN_Point to Point 28 GHz,BKT136_Tanjung Alam,JL  TANJUNG ALAM DESA TANJUNGALAM KEC IV ANGKAT AGAM,100.4099375,-0.2938125,1.017,0,17,37.725,S,100,24,35.775,E,02273763-000SU/2620202025,4-Nov-24,2.15E+12,3-May-27,BKT106_BKT WBBC 5,0,17,55.275,S,100,24,7.875,E
24265012018,2,"INDOSAT TBK, PT.",7687,,28000,7G_XMC2_32Q_28M_108M,030192_PARIT PUTUS,"JL. LINTAS PAYAKUMBUH - BUKIT TINGGI, JORONG TANJUNG ALAM,,NAGARI BIARO GADANG, KECAMATAN AMPE ANGKEK CANDUANG, KABUPATEN AGAM,PADANG,SUMATRA BARAT",100.4104389,-0.29318889,12.25,0,17,35.48,S,100,24,37.58,E,02007613-000SU/2620182023,27-Oct-25,24265012018,28-Jan-27,038001_TANJUNG - PANDAI SINGKEK,0,23,43.125,S,100,22,9.975,E
2.48E+12,1,TELEKOMUNIKASI INDONESIA TBK,22470,23478,28000,MINI-LINK CN 210/CN510-23GHZ,LBB274_Panampuang Angkek,"Jorong surau lauik, nagari panampuang, kec.ampek.angkek Kab Agam",100.4362,-0.27131944,2.07,0,16,16.75,S,100,26,10.32,E,02511855-000SU/2620212026,16-Dec-21,2.48E+12,16-Dec-26,LBB172_Biaro,0,17,22.2,S,100,25,54.12,E
2.06E+12,1,"INDOSAT TBK, PT.",22358,23366,28000,23G_XMC2_256Q_28M_183M,030659_PAKAN LADANG,JL. RAYA TIGO BALEH KOTO KACIAK PAKAN LADANG KEC.AUR KUNING TIGO BALEH KODYA BUKIT TINGGI,100.4028111,-0.31143889,1.412,0,18,41.18,S,100,24,10.12,E,02933846-000SU/2620242029,7-Nov-24,2.06E+12,13-Nov-26,030704_KAMPUANG NAN LIMO,0,17,55.275,S,100,24,7.875,E
2.06E+12,1,"INDOSAT TBK, PT.",22218,23226,28000,23G_XMC2_256Q_28M_183M,030659_PAKAN LADANG,JL. RAYA TIGO BALEH KOTO KACIAK PAKAN LADANG KEC.AUR KUNING TIGO BALEH KODYA BUKIT TINGGI,100.4028111,-0.31143889,1.412,0,18,41.18,S,100,24,10.12,E,02933814-000SU/2620242029,7-Nov-24,2.06E+12,13-Nov-26,030704_KAMPUANG NAN LIMO,0,17,55.275,S,100,24,7.875,E
